,Jisoo,Jennie,Rose,Lisa
71,610.6,0.0,0.0,0.0
72,2595.9,0.0,0.0,0.0
73,103.0,0.0,0.0,0.0
74,103.0,0.0,0.0,0.0
75,740.8,0.0,0.0,0.0
76,200.3,0.0,0.0,0.0
77,219.0,0.0,0.0,0.0
78,190.3,116.0,0.0,0.0
79,103.0,0.0,0.0,0.0
80,844.0,0.0,0.0,0.0
81,1385.0,0.0,0.0,0.0
82,273.0,0.0,0.0,0.0
83,195.0,0.0,0.0,0.0
84,1153.5,0.0,0.0,0.0
85,169.0,0.0,0.0,0.0
86,169.0,0.0,0.0,0.0
87,169.0,0.0,0.0,0.0
88,329.0,0.0,0.0,0.0
89,113.0,0.0,0.0,0.0
90,189.0,0.0,0.0,0.0
91,169.0,0.0,0.0,0.0
92,103.0,0.0,0.0,0.0
93,746.6,0.0,0.0,0.0
94,169.0,0.0,0.0,0.0
95,527.8,0.0,0.0,0.0
96,252.9,0.0,0.0,32.7
97,120.0,0.0,0.0,0.0
98,203.0,100.0,0.0,100.0
99,454.0,0.0,0.0,0.0
100,261.0,0.0,0.0,0.0
101,1098.5,0.0,0.0,0.0
102,569.5,0.0,0.0,37.0
103,3552.0,0.0,0.0,0.0
104,798.9,0.0,0.0,0.0
105,2592.0,0.0,0.0,0.0
106,108.6,0.0,0.0,0.0
107,686.5,0.0,0.0,327.0
108,60.0,0.0,0.0,0.0
109,3234.6,0.0,0.0,32.0
110,143.9,0.0,0.0,0.0
111,81.0,0.0,0.0,0.0
112,163.0,0.0,0.0,0.0
113,160.0,0.0,0.0,0.0
114,66.0,0.0,0.0,0.0
115,658.9,0.0,0.0,0.0
116,74.0,0.0,0.0,0.0
117,212.3,0.0,0.0,0.0
118,52.0,0.0,0.0,0.0
119,572.0,0.0,0.0,673.3
120,52.0,0.0,0.0,0.0
121,104.0,0.0,0.0,1.0
122,1486.8,0.0,0.0,15.0
123,52.0,52.0,0.0,0.0
124,3848.3,0.0,0.0,0.0
125,50.0,0.0,0.0,0.0
126,50.0,0.0,0.0,0.0
127,50.0,52.0,0.0,0.0
128,50.0,0.0,0.0,0.0
129,492.6,0.0,0.0,0.0
130,136.0,0.0,0.0,0.0
131,50.0,0.0,0.0,0.0
132,153.0,0.0,0.0,0.0
133,50.0,0.0,0.0,0.0
134,50.0,0.0,0.0,0.0
135,50.0,0.0,0.0,0.0
136,116.0,0.0,0.0,0.0
137,804.2,0.0,0.0,431.7
138,120.0,0.0,0.0,0.0
139,50.0,0.0,0.0,0.0
140,70.0,0.0,0.0,0.0
141,130.0,11.6,0.0,15.0
142,502.0,0.0,0.0,0.0
143,153.0,0.0,0.0,0.0
144,50.0,0.0,0.0,0.0
145,50.0,0.0,0.0,0.0
146,50.0,0.0,0.0,289.7
147,201.3,0.0,0.0,0.0
148,206.0,0.0,0.0,0.0
149,213.3,0.0,0.0,32.7
150,111.3,0.0,0.0,0.0
151,211.3,0.0,0.0,0.0
152,1018.8,0.0,0.0,0.0
153,45.0,0.0,0.0,0.0
154,45.0,0.0,0.0,0.0
155,108.0,0.0,22.0,0.0
156,308.0,0.0,0.0,0.0
